,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
1077,4.558288677288942,0.26843993284903284,4.511271389862026,1.0,,7.0,True,[ 1.40412405 -1.21962724  1.83113218],[-1.02343018 -0.47209534 -2.35410634],[-1.16177168  1.34112692  1.91409643]
1126,6.589502319105456,1.6950319375978944,1.0534657432966499,1.0,7.0,,True,[ 1.45126253 -1.21160754  1.79942887],[-1.42643747  1.2523013   1.79140102],[-1.82024068  1.44174598  1.19171826]
1135,3.8381425975776695,5.459493206082621,0.040364196339709224,,1.0,6.0,True,[-1.30798604  1.65621985 -1.5356459 ],[ 1.31954497 -1.41304577  1.75334045],[-1.36531641 -1.26950981  1.82656944]
1151,4.592197037513646,2.139108707392502,2.6066942550938528,1.0,0.0,,True,[ 1.16051827 -1.24871267  1.97636384],[1.1296921  1.3444017  1.93092719],[-2.56370927  0.4395329   0.21518732]
1179,4.5595218107321696,1.7779573928889323,3.000520796378899,0.0,1.0,,True,[1.27115216 1.35047729 1.83643221],[ 1.23587228 -1.30849226  1.89012373],[-2.51830387 -0.65750716  0.19475618]
1198,4.541654610867203,3.203297240988138,1.5930481481446597,7.0,,6.0,True,[-1.31945718  1.40544931  1.75950134],[ 2.49186976 -0.7495341   0.20219731],[-1.30567587 -1.31019613  1.84138443]
1356,3.7773056829602853,3.707846170135975,1.8528481469037401,4.0,,1.0,True,[-1.27282595 -1.33208543 -1.84866506],[0.33783831 2.31138848 1.16423733],[ 1.3394426  -1.3677769   1.77402927]
1408,4.5663352541284405,4.604876389726608,0.16678835614495124,6.0,0.0,,True,[-1.29305659 -1.28813836  1.86569135],[1.20113907 1.4188618  1.83199239],[ 2.29894633  1.12218636 -0.51734276]
1463,4.5316890539010775,4.527734370542024,0.2785765755568992,1.0,,0.0,True,[ 1.44678705 -1.33141225  1.716464  ],[-2.05671382  1.24417042  1.01689144],[1.32023783 1.3996017  1.76357227]
1478,3.799695112665844,0.06670531695627938,5.471599570377877,2.0,,6.0,True,[ 1.43928075  1.31822889 -1.73287147],[1.9977074  1.39857757 0.93018596],[-1.41997071 -1.25294236  1.79608425]
1761,3.76269827224254,0.11685116581332934,5.458450561944131,4.0,,0.0,True,[-1.29691363 -1.19417962 -1.92459089],[-0.65508789 -2.33724784  0.95928742],[1.17262535 1.3334505  1.9128407 ]
1829,3.7733727021970025,2.12595582647041,3.438671471332588,3.0,6.0,,True,[ 1.23874451 -1.33572413 -1.86907814],[-1.24264713 -1.24973958  1.92511794],[-0.3205523   2.38187641  1.01784624]
1847,3.800010090650642,1.583963239599086,3.954026669750272,3.0,6.0,,True,[ 1.30935813 -1.44929761 -1.73124745],[-1.26144777 -1.41710466  1.79239055],[-0.48520114  2.31771286  1.09767342]
1881,3.8882245975809737,0.08077991383598912,5.368995488583038,,4.0,1.0,True,[-1.39862392  1.79251247 -1.28173717],[-1.26390387 -1.34998761 -1.8417873 ],[ 1.34525908 -1.35983636  1.77573171]
1931,5.663284269326859,1.581212644076151,2.093503086596991,4.0,,0.0,True,[-1.44779709 -1.21807149 -1.79785579],[1.32816444 0.70958458 2.13179946],[1.22697307 1.38672773 1.83946277]
2189,4.585538241671011,0.10952052496160908,4.64294123336738,1.0,,7.0,True,[ 1.18303916 -1.27204583  1.94792652],[ 1.61145436 -0.27808214 -2.03420382],[-1.42319973  1.30686739  1.75462251]
2260,5.650051297960436,1.4122974524120142,2.27565124962755,4.0,,0.0,True,[-1.17389708 -1.41379843 -1.85343995],[0.75042248 1.34480863 2.10723892],[1.2585338  1.16829497 1.96552271]
2364,4.5398251986433396,4.640996000188734,0.1571788011679267,1.0,7.0,,True,[ 1.30528148 -1.42835939  1.75160775],[-1.37817581  1.40899633  1.71098241],[-1.39547876  2.0657244  -0.7729953 ]
2540,3.7793021567669753,1.8757049997030164,3.682992843530009,2.0,7.0,,True,[ 1.29734693  1.32272551 -1.83831123],[-1.24181755  1.37967964  1.83479516],[-0.42798403 -2.32450895  1.1070627 ]
2685,4.589933486871726,2.6264922984838077,2.121574214644466,0.0,,1.0,True,[1.15811714 1.26607651 1.96670154],[-2.55932935 -0.46342017  0.21719815],[ 1.14420134 -1.34660817  1.92082007]
2807,3.63460180549892,2.7069473573693177,2.9964508371317624,,1.0,7.0,True,[-0.13944871 -0.11639792 -2.60367156],[ 1.40419799 -1.36347933  1.72663028],[-1.18106     1.42413467  1.84093393]
2880,3.6583112574639993,1.63990607344375,4.039782669092251,,7.0,1.0,True,[-0.67375353  0.4763268  -2.47613993],[-1.26721211  1.36592468  1.82770983],[ 1.4485374  -1.32355624  1.72105731]
3088,3.7541055201531486,2.3760630521704784,3.2078314276763735,3.0,6.0,,True,[ 1.24925555 -1.17172665 -1.96939514],[-1.22020863 -1.27213738  1.92480061],[-0.30128176  2.36243189  1.0678225 ]
3207,3.7846755622886046,3.356381104210403,2.196943333500993,5.0,,0.0,True,[-1.42996773  1.22044366 -1.8104722 ],[ 0.57876217 -2.36401957  0.94262709],[1.16149401 1.32012732 1.92880676]
3210,3.6557111473412887,1.5856650344016259,4.096623818257085,,1.0,7.0,True,[ 0.50226565 -0.59942528 -2.49008405],[ 1.25571884 -1.42856914  1.78730535],[-1.25570851  1.45502898  1.76583884]
3221,3.639177969792345,2.1957362115248156,3.5030858186828393,,7.0,1.0,True,[-0.24666152  0.3163372  -2.57898989],[-1.38137006  1.30385418  1.78993883],[ 1.34504805 -1.35469436  1.77981711]
3242,3.7814278882246866,0.08683409480892718,5.469738016966386,2.0,,6.0,True,[ 1.24740162  1.38458974 -1.82729321],[1.04773884 2.1707917  1.00100285],[-1.16918486 -1.42475399  1.84802132]
3391,5.658455482005869,1.637967498836289,2.0415770191578426,4.0,,0.0,True,[-1.35863279 -1.28865984 -1.81812341],[1.1137739  0.80269229 2.21975061],[1.26424893 1.42639729 1.78302143]
3396,3.7840135473256535,3.0400468544416075,2.5139395982327395,5.0,,6.0,True,[-1.23139735  1.41616663 -1.81389984],[ 2.41712223 -0.28024269  0.94397255],[-1.14727312 -1.42927913  1.85823184]
3587,3.8046988966538486,3.614191301998917,1.919109801347235,3.0,,0.0,True,[ 1.40514072 -1.38691351 -1.7070883 ],[-2.38314865  0.50560668  0.93651717],[1.29197188 1.25895373 1.88625136]
3791,4.546991515822554,1.3472033565986448,3.4438051275788015,7.0,6.0,,True,[-1.4107736   1.28236927  1.78251141],[-1.38822039 -1.20942365  1.84992934],[ 2.48933565 -0.71707731  0.31797512]
3880,4.56022790281413,0.17556977971275456,4.602202317473116,6.0,,0.0,True,[-1.29081086 -1.32750546  1.83946639],[ 0.37538565 -0.45409795 -2.54263262],[1.21159142 1.41013129 1.83185043]
3888,3.7622945225070152,2.1863072987434107,3.389398178749574,3.0,0.0,,True,[ 1.14253333 -1.33961514 -1.92669377],[1.38441361 1.21519559 1.84899936],[-2.31562931  0.43540482  1.12266804]
3900,4.536496439186102,4.5700627101147955,0.23144085069910325,1.0,7.0,,True,[ 1.35816942 -1.39623934  1.73723676],[-1.43106321  1.24080642  1.7957053 ],[-0.99576692  2.04736491 -1.27626219]
4014,4.531624026635122,3.27857074117809,1.5278052321867874,6.0,,1.0,True,[-1.42072323 -1.35954473  1.71618287],[0.73832902 2.49500954 0.20468912],[ 1.36524331 -1.31348368  1.79526358]
4275,3.7568985258353895,0.10654480351225548,5.474556670652356,5.0,,1.0,True,[-1.26339342  1.18093795 -1.95482036],[-1.80787661  1.54355121  1.07755828],[ 1.29880443 -1.19362341  1.92366063]
4303,4.551410271489542,4.610359131008008,0.17623059750245051,6.0,0.0,,True,[-1.22657033 -1.43599039  1.8015429 ],[1.1989692  1.45653029 1.80363311],[ 1.72592021  1.75026331 -0.87742679]
4441,4.551206162049092,1.6030223873511762,3.183771450599732,7.0,6.0,,True,[-1.38007664  1.29038634  1.8006642 ],[-1.23669425 -1.30935732  1.8889867 ],[ 2.52757239 -0.61372027  0.21639139]
4583,3.759691738786113,2.137483935664278,3.4408243255496096,5.0,6.0,,True,[-1.33050903  1.1301566  -1.94025559],[-1.23621792 -1.26327321  1.9204182 ],[ 2.36514414 -0.18568867  1.08798571]
4612,3.774379491934869,2.2039196161780823,3.3597008918870492,4.0,1.0,,True,[-1.30467391 -1.27905706 -1.86385059],[ 1.42994892 -1.23630436  1.79969376],[0.22468927 2.35701643 1.09822051]
4681,3.774562437996479,3.6338815203612724,1.929556041642249,5.0,,0.0,True,[-1.25602998  1.32819018 -1.86290084],[ 0.32462813 -2.32893827  1.13259132],[1.31123337 1.33840386 1.81698711]
4903,6.587766487990442,1.4721110475170784,1.27812246449248,0.0,,6.0,True,[1.45452704 1.21696161 1.79316913],[-1.81226518 -1.4880422   1.14609133],[-1.35727164 -1.16588615  1.90016399]
4916,3.7559129103313147,0.2663626768818939,5.315724412786793,4.0,,0.0,True,[-1.14568773 -1.28765183 -1.95996234],[-1.86335996 -1.07126161  1.48067154],[1.38014815 1.32216909 1.7774026 ]
4957,4.555059212429566,0.17794129591897775,4.604999491651456,0.0,,6.0,True,[1.41392801 1.22903514 1.81724522],[-0.65779053  1.18819109 -2.22881438],[-1.27693646 -1.45591879  1.74980963]
5163,3.659189580566193,4.069721097298556,1.609089322135251,,7.0,1.0,True,[ 0.66202712 -0.51560111 -2.47143189],[-1.43017106  1.34269515  1.72159242],[ 1.27613082 -1.35782461  1.82754   ]
5173,6.621815119111031,1.7668838755271268,0.9493010053618427,6.0,0.0,,True,[-1.30382051 -1.20099809  1.91566063],[1.27851757 1.35366291 1.82895859],[1.69928388 1.32519961 1.47254212]
5176,4.532962602901449,3.484010462985075,1.3210269341134766,1.0,,0.0,True,[ 1.4167618  -1.3563585   1.72196911],[-2.46919523  0.80774016  0.2504611 ],[1.38554099 1.20075757 1.85756761]
5339,4.574508143019196,0.8610411249162928,3.902450732064512,7.0,3.0,,True,[-1.26042887  1.26910838  1.90073222],[ 1.32020361 -1.30143717 -1.83723263],[ 0.74451972 -0.76273199  2.38244209]
5368,4.542566292038446,1.6105006108382738,3.1849330971232814,7.0,0.0,,True,[-1.42342366  1.29470687  1.76343393],[1.14788979 1.27562127 1.96652979],[ 0.88368048 -2.45331578  0.11158191]
5566,4.559345712778886,4.571725786945818,0.2069285002752963,0.0,,7.0,True,[1.4469608  1.16133551 1.83567543],[-1.53132727 -1.70203065  1.25308757],[-1.26916243  1.2045472   1.93659308]
5609,4.550620336926212,4.475319989388405,0.31205967368538445,1.0,7.0,,True,[ 1.36022596 -1.31475119  1.798142  ],[-1.21353661  1.20674593  1.97058194],[-1.5499839   1.37024091 -1.59125414]
5778,4.570407740572321,3.0300577478014414,1.7375345116262384,6.0,,1.0,True,[-1.30758384 -1.24741111  1.88315959],[0.59706628 2.52064576 0.31930679],[ 1.33224226 -1.3055545   1.82558429]
5796,6.563475883076111,1.1393900767800191,1.63513404014387,6.0,0.0,,True,[-1.43785392 -1.35509364  1.7054024 ],[1.37386329 1.31788645 1.7854341 ],[1.73390584 1.61482226 1.09454081]
6006,3.760923310734055,0.08621771950405506,5.490858969761891,4.0,,0.0,True,[-1.2404538  -1.23840533 -1.93383728],[-1.49454065 -1.91128324  0.96200034],[1.2138928  1.26441856 1.93385883]
6061,4.557835882921164,1.5398955395693834,3.240268577509453,1.0,0.0,,True,[ 1.30369107 -1.32912349  1.8291857 ],[1.37414468 1.27254686 1.81781487],[-2.49349249  0.69909434  0.32536488]
6108,6.600646002683574,1.565734527482401,1.1716194698340259,7.0,,1.0,True,[-1.38528289  1.22843364  1.83957661],[ 1.81751743 -1.36548896  1.28225203],[ 1.18696134 -1.33722493  1.90132907]
6121,3.796085974865677,3.3312824228259186,2.2106316023084047,5.0,,6.0,True,[-1.30038787  1.43295999 -1.75148995],[ 2.39347129 -0.39140249  0.96446839],[-1.23411055 -1.39730113  1.82664192]
6243,4.559394899131031,0.14497470819336244,4.633630392675607,1.0,,7.0,True,[ 1.20428423 -1.41114107  1.83588681],[ 0.44208983 -0.11820995 -2.56956864],[-1.2727964   1.42070077  1.78148776]
6388,3.7978542703821687,4.033491156911352,1.5066545727064797,3.0,,6.0,True,[ 1.30032476 -1.44409755 -1.74236557],[-0.46025077  2.2895973   1.16533833],[-1.31143876 -1.45345474  1.72618009]
6562,4.550570073462028,0.2499086164059793,4.537521310131994,7.0,,1.0,True,[-1.45420554  1.21030983  1.79792558],[ 0.89806765  0.54197144 -2.38994591],[ 1.24553396 -1.33924023  1.86203672]
6618,4.5317326234492326,0.9794992936747065,3.826768082876061,7.0,3.0,,True,[-1.34037283  1.4382647   1.71665236],[ 1.25247912 -1.25221777 -1.91711938],[ 0.8249581  -0.93161806  2.29426065]
6648,3.76558472335194,0.20112420476607948,5.371291071881981,5.0,,1.0,True,[-1.22785688  1.28764637 -1.9095639 ],[-1.946121    1.04489764  1.39028846],[ 1.40465926 -1.28032904  1.78879566]
6775,4.588320597671041,0.15259397565931893,4.597085426669641,0.0,,6.0,True,[1.22752108 1.21013291 1.95981385],[ 0.57623334 -0.2768619  -2.53049454],[-1.33133497 -1.15853694  1.92287269]
6840,4.539724802058186,1.8553599500639881,2.942915247877826,0.0,1.0,,True,[1.27170793 1.45885123 1.75117447],[ 1.1710567  -1.38117161  1.87965188],[-2.50930595 -0.71524898  0.06247036]
6896,5.645535295315072,1.7819607168713205,1.9105039878136083,2.0,,6.0,True,[ 1.38933371  1.17295451 -1.87243947],[-1.08799368 -0.70661786  2.26474302],[-1.33752457 -1.33388889  1.80107424]
6906,3.9395322726160407,5.25496406977342,0.1435036576105393,,0.0,2.0,True,[-1.64142095 -1.7513234  -1.02503834],[1.33451037 1.39521134 1.75629365],[ 1.19666466  1.45017233 -1.81027454]
6909,3.8023167108294214,2.2006687743804183,3.3350145147901613,5.0,6.0,,True,[-1.40911709  1.36758712 -1.71935875],[-1.14232445 -1.40227293  1.88170813],[ 2.43254035 -0.32116248  0.88977643]
7199,4.552208964797319,0.19832806048483978,4.587462974717842,0.0,,6.0,True,[1.43582134 1.2217041  1.80498093],[-0.8070669   1.17156007 -2.18819332],[-1.26248463 -1.46059685  1.75638533]
7276,3.6413219323616186,2.1946587335650958,3.5020193340732866,,6.0,0.0,True,[-0.32544064 -0.33830991 -2.5674374 ],[-1.32379655 -1.30387266  1.83291537],[1.37981203 1.37716234 1.7354085 ]
7403,4.700027553212909,4.289983032181127,0.3479894146059648,,1.0,7.0,True,[-0.73383186  0.60170156  2.43136711],[ 1.29966019 -1.14353798  1.95328039],[-1.26164364  1.30795326  1.87339627]
7410,3.6389119999526076,3.3625975438008626,2.3364904562465303,,1.0,7.0,True,[-0.27810658  0.27599118 -2.58042353],[ 1.46424648 -1.2905741   1.73277256],[-1.40951849  1.20381194  1.83744236]
7463,3.7728630754477335,3.177360827673554,2.3877760968787127,5.0,,6.0,True,[-1.28169908  1.29073378 -1.87172481],[ 2.40859432 -0.25433999  0.97266879],[-1.16732575 -1.32907131  1.91911961]
7596,3.6334652568265215,3.032829193678647,2.671705549494832,,7.0,1.0,True,[-0.0297201  -0.01124886 -2.60980654],[-1.24112214  1.34935823  1.85767279],[ 1.35700229 -1.42454427  1.71502723]
7617,4.629326082314526,0.09883049991336303,4.609843417772113,,3.0,7.0,True,[ 0.97401084 -1.14394543  2.1341958 ],[ 1.29363076 -1.22411088 -1.90792348],[-1.1654812   1.32559536  1.92264154]
7713,3.6375049146184377,2.4478695058826587,3.2526255794989045,,0.0,6.0,True,[ 0.33800361  0.00765662 -2.58800984],[1.26074444 1.42526008 1.78640902],[-1.45115739 -1.24453174  1.77690263]
7849,3.77153477532702,3.4118006200644255,2.154664604608555,4.0,,1.0,True,[-1.36722886 -1.1889297  -1.87862487],[0.38518345 2.32450087 1.12268848],[ 1.32418666 -1.35205129  1.79738338]
7884,5.707707304325957,1.263074049992555,2.367218645681488,,7.0,7.0,True,[ 1.3816021  -1.51789781 -1.61222264],[-1.24058055  1.46202172  1.7707491 ],[-1.23914074  1.28902538  1.90132685]
7905,3.678035868964265,4.6109051178643705,1.049059013171365,,7.0,1.0,True,[ 0.82338948 -0.71690714 -2.3706906 ],[-1.43356835  1.25395123  1.78454143],[ 1.46371624 -1.2865323   1.73622274]
8064,4.5282969969813065,3.354134566650559,1.4555684363681345,7.0,,6.0,True,[-1.36511535  1.43264007  1.70179391],[ 2.46398554 -0.84448045  0.16651741],[-1.33254818 -1.24497334  1.86720559]
8208,4.555307257899558,1.502707077376177,3.2799856647242653,0.0,7.0,,True,[1.23204761 1.4099289  1.81831218],[-1.45408131  1.29698314  1.73654319],[-0.46773085 -2.53945624  0.3801182 ]
8349,3.7668834932638506,2.184250747536108,3.3868657592000417,3.0,0.0,,True,[ 1.14558133 -1.37079233 -1.9028063 ],[1.3750767  1.3018825  1.79620879],[-2.31242205  0.400152    1.14222704]
8419,3.643877041171366,1.8918465185928384,3.8022764402357963,,6.0,0.0,True,[-0.41365552 -0.34599768 -2.55367866],[-1.28215988 -1.44167266  1.75776733],[1.3093533  1.35563634 1.80553151]
8545,4.554095000431717,0.2136432471402951,4.570261752427989,7.0,,1.0,True,[-1.20938092  1.43602802  1.81309717],[-0.9258075  -0.84439522 -2.28953646],[ 1.40740805 -1.25091991  1.80734666]
8579,5.639256501103686,1.8928947194080692,1.8058487794882452,2.0,6.0,,True,[ 1.37629172  1.14550062 -1.8988811 ],[-1.15088992 -1.37312093  1.89791762],[-1.25379488 -0.61843138  2.20400568]
8779,4.578116106911718,0.1186349087896037,4.641248984298679,0.0,,6.0,True,[1.29398767 1.21076148 1.91618176],[ 0.84397399  0.26123572 -2.45592422],[-1.42008967 -1.24426441  1.80201315]
8792,3.777636007616671,5.376674629019948,0.18368936336338226,4.0,0.0,,True,[-1.31919204 -1.28864354 -1.84695159],[1.23992021 1.47340893 1.76175027],[-0.57441287 -1.979679    1.60094376]
8924,4.543786549865573,2.867012158342135,1.9272012917922918,6.0,,7.0,True,[-1.25422194 -1.45283877  1.76869637],[2.5244416  0.65830075 0.07703712],[-1.15321041  1.42788522  1.85562646]
8951,4.545940693952874,0.2490850387085172,4.54297426733861,7.0,2.0,,True,[-1.45940357  1.23329563  1.77798288],[ 1.14040856  1.33134402 -1.93367303],[ 1.19284745 -1.54543926  1.73229111]
8983,3.7791460229986122,0.13582172922282146,5.423032247778567,3.0,,7.0,True,[ 1.19702474 -1.41310532 -1.83912074],[ 1.82965949 -1.35803215  1.27286873],[-1.28881767  1.39456053  1.79060044]
9244,6.608954198391552,1.6365639100325076,1.092481891575941,0.0,6.0,,True,[1.30293324 1.27262064 1.86946562],[-1.22495109 -1.31875121  1.89010319],[-1.70539195 -1.51603047  1.26703982]
9278,3.7923768934825066,3.4117797615042122,2.133843345013282,4.0,,7.0,True,[-1.29197764 -1.41693952 -1.77064287],[2.38132314 0.55222814 0.91457322],[-1.28873452  1.19069615  1.93222825]
9285,6.585364565586394,1.2129113968478662,1.5397240375657404,6.0,0.0,,True,[-1.32886879 -1.36445989  1.78450468],[1.29582162 1.25652875 1.88522726],[1.59810694 1.7065868  1.16004988]
9304,4.5768309873824045,1.8848021745401073,2.876366838077489,1.0,0.0,,True,[ 1.21392646 -1.29914737  1.91068016],[1.23455089 1.29581443 1.8996971 ],[-2.53062809  0.58982565  0.2452084 ]
9706,5.637754606057994,1.8785269104635434,1.821718483478463,3.0,,7.0,True,[ 1.1720823  -1.34480345 -1.90521042],[-0.71666855  1.03663922  2.28557768],[-1.334157    1.31308477  1.81877252]
9717,4.561469030384532,3.402194206550554,1.374336763064914,1.0,,0.0,True,[ 1.42403229 -1.17513842  1.84479856],[-2.51458667  0.59281716  0.37083917],[1.36206199 1.20816698 1.87008548]
9806,5.713290831962201,1.2618005731019417,2.362908594935858,,1.0,1.0,True,[-1.47959389  1.44844689 -1.58899449],[ 1.42741521 -1.31519392  1.74495008],[ 1.25762084 -1.29119473  1.88767211]
10039,3.6586141089827118,1.4389134400807158,4.240472450936572,,0.0,6.0,True,[ 0.65945026  0.50397793 -2.47451644],[1.38177982 1.35502174 1.75119976],[-1.41745148 -1.25745205  1.79492218]
10055,4.553670658488854,0.2538635721739786,4.530465769337168,1.0,2.0,,True,[ 1.36558921 -1.29095397  1.81127137],[ 1.41013827  1.36600875 -1.71977619],[-1.70288517  0.97089887  1.72326362]
10131,3.6354900831759114,3.1185938604657584,2.583916056358331,,6.0,0.0,True,[ 0.23387908  0.05686129 -2.5988781 ],[-1.46095375 -1.26485117  1.7543847 ],[1.32758868 1.32212103 1.81703172]
10305,5.64004957243608,1.3668901357852592,2.331060291778661,3.0,,7.0,True,[ 1.22309166 -1.31266003 -1.89553962],[-0.94355631  0.99471814  2.22088661],[-1.17996252  1.28010696  1.94450884]
10471,4.68571809350946,4.201865780617538,0.4504161258730015,,0.0,6.0,True,[-0.77991923 -0.76122572  2.37157361],[1.37399466 1.40142651 1.7205355 ],[-1.2917034  -1.44511542  1.74792556]
10560,3.683403170542261,4.52752037481127,1.1270764546464695,,0.0,6.0,True,[-0.78935108 -0.83881136 -2.34209743],[1.35326533 1.43798422 1.70674377],[-1.28531134 -1.36569602  1.81519948]
10693,6.610871964684865,0.9129615954509127,1.814166439864223,1.0,7.0,,True,[ 1.23917164 -1.3250767   1.87635961],[-1.21126383  1.45949819  1.79298772],[-1.50623266  1.49412367  1.52018343]
11201,5.706715200100365,2.3525780895039903,1.2787067103956455,,6.0,6.0,True,[ 1.54047947  1.35145409 -1.61635233],[-1.33752932 -1.13369737  1.93335087],[-1.44012499 -1.31727571  1.73289489]
11246,4.546772827137997,0.9064388104690049,3.884788362392998,7.0,3.0,,True,[-1.26548442  1.42711629  1.78156905],[ 1.37320022 -1.13901501 -1.90501075],[ 0.70575275 -0.99373601  2.30792154]
11271,3.798502140302089,1.8924217039674065,3.647076155730505,5.0,0.0,,True,[-1.37007056  1.38231811 -1.73902366],[1.18173098 1.32715912 1.91161203],[ 0.54697769 -2.3667267   0.95473562]
11278,4.585417471916021,3.8577374603628414,0.894845067721139,7.0,,3.0,True,[-1.30336371  1.14931972  1.94741038],[ 0.74266919 -0.61440959  2.42549857],[ 1.40838941 -1.32598956 -1.75222457]
11357,3.7761726188667684,3.620231073969182,1.9415963071640507,4.0,,1.0,True,[-1.33138924 -1.26497842 -1.85454369],[0.50470008 2.31884141 1.08644023],[ 1.16757856 -1.40223001  1.86617558]
11457,3.7684478823035814,0.2034418862435676,5.366110231452852,5.0,,1.0,True,[-1.26047223  1.27809859 -1.89466983],[-0.94533771  1.98841414  1.40165824],[ 1.24036145 -1.45823099  1.77402533]
11465,4.553652269557017,4.4929917022160835,0.29135602822689943,6.0,0.0,,True,[-1.37788169 -1.27793768  1.81119224],[1.18180096 1.26492625 1.95330696],[ 1.87468983  1.07565698 -1.46307899]
11666,4.5475718041150675,1.6306320588438836,3.1597961370410497,7.0,6.0,,True,[-1.29368564  1.3972153   1.78501173],[-1.27563772 -1.16876915  1.95418195],[ 2.46837076 -0.83658209  0.13919841]
11840,3.649688604947847,3.950724199992466,1.7375871950596875,,1.0,7.0,True,[-0.42718725  0.51672054 -2.52242164],[ 1.30617783 -1.39224673  1.7797889 ],[-1.35043436  1.35045593  1.77895919]
11896,6.607425755893774,1.130834887101391,1.5997393570048353,1.0,,7.0,True,[ 1.37897269 -1.1983952   1.86396976],[-1.80491593  1.41490204  1.24596577],[-1.28499876  1.24591829  1.89962254]
12259,3.768428167770526,2.2257346118848185,3.343837220344656,4.0,1.0,,True,[-1.35391789 -1.17849231 -1.89477234],[ 1.25068031 -1.33643814  1.86059987],[0.41693166 2.34142039 1.07518302]
12323,4.587178508850405,0.14746634725605504,4.603355143893541,6.0,,0.0,True,[-1.25730659 -1.18722716  1.95493525],[ 0.17059412 -0.58794876 -2.53718622],[1.22456223 1.29037152 1.90983996]
12368,6.6286113294085665,1.0538148240833047,1.6555738465081293,7.0,,1.0,True,[-1.32285101  1.13948411  1.94003638],[ 1.82190572 -1.11973908  1.49631011],[ 1.19340067 -1.38669842  1.86144093]
12399,4.524153863211333,0.5549247352308946,4.258921401557773,,2.0,1.0,True,[-1.86144743  0.7153501   1.68386095],[ 1.45503004  1.21699655 -1.79273729],[ 1.39331714 -1.1765839   1.86719513]
12554,3.7774437001980252,2.0639938853427804,3.496562414459195,2.0,7.0,,True,[ 1.43648871  1.15485249 -1.84794912],[-1.38976423  1.41336892  1.69795279],[-0.42530883 -2.2862398   1.18504007]
12576,3.7828104043765975,5.369959843646519,0.18522975197688485,3.0,7.0,,True,[ 1.17640373 -1.45440646 -1.82013079],[-1.44080073  1.19812118  1.81678256],[2.30439723 0.29097087 1.19045763]
12695,4.5688372244889095,0.20997096212802882,4.5591918133830625,6.0,,0.0,True,[-1.30787708 -1.25721399  1.87642493],[-0.17202638  0.568495   -2.5415193 ],[1.34617719 1.13654247 1.92566305]
12704,4.577325905407968,4.641347517228423,0.11932657736360852,0.0,6.0,,True,[1.20412298 1.30513889 1.91279908],[-1.36666495 -1.32341893  1.78686576],[-1.20824068 -2.29436039  0.29692571]
12740,3.776210855441197,0.1730034923283118,5.388785652230491,4.0,,0.0,True,[-1.31920444 -1.27796839 -1.85434528],[-1.4598278  -1.63798903  1.41350442],[1.36588697 1.36329022 1.75724004]
