,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
16,4.559672323013226,1.5839114402700025,3.1944162367167728,1.0,0.0,,True,[ 1.41112149 -1.20248776  1.83707902],[1.22939028 1.39850816 1.8288998 ],[-2.55159836  0.45188274  0.31184581]
81,4.586383741639317,4.274612105240105,0.4770041531205793,1.0,,5.0,True,[ 1.30675667 -1.1384113   1.95153958],[-1.00053129  0.87792774  2.2450568 ],[-1.46863559  1.26060113 -1.75102664]
181,3.6384270029011727,3.344145965653945,2.3554270314448833,,0.0,6.0,True,[-0.24408193 -0.28361669 -2.58303805],[1.28200542 1.46737213 1.73648529],[-1.22419825 -1.39593352  1.83434136]
203,4.54546683529135,1.3401712422405703,3.4523619224680804,0.0,7.0,,True,[1.30399676 1.39918834 1.77594044],[-1.22811439  1.4094123   1.82137091],[-0.73108677 -2.48362123  0.33051128]
291,3.779380267218027,3.0819081539005775,2.4767115788813965,4.0,,1.0,True,[-1.39889674 -1.21543757 -1.83790626],[0.35365929 2.41097033 0.93501185],[ 1.33354844 -1.18802272  1.90324738]
298,5.642106424564493,2.2987119637360287,1.3971816116994789,4.0,,0.0,True,[-1.2915271  -1.25847454 -1.88687562],[1.12446988 0.9106419  2.17218756],[1.15303392 1.36088516 1.90541448]
407,4.589239246871643,0.11252883569977105,4.636231917428586,6.0,,0.0,True,[-1.14327419 -1.28404071  1.96373715],[-0.55729991 -0.69498497 -2.45326572],[1.22428905 1.38579078 1.84195555]
503,4.542479350017006,4.707964107540631,0.0875565424423641,7.0,,1.0,True,[-1.38216972  1.33915274  1.76305893],[ 1.59943841 -1.54472608  1.36664483],[ 1.28356667 -1.27979389  1.87794681]
526,3.7601696581608035,0.2435390333632419,5.334291308475955,2.0,,6.0,True,[ 1.24656282  1.22607064 -1.93776467],[0.79244532 2.04311778 1.41767421],[-1.21591981 -1.46594751  1.7845551 ]
878,3.6390956424586967,3.2656315582741176,2.4332727992671863,,7.0,1.0,True,[ 0.3358372  -0.21409215 -2.57943364],[-1.36812431  1.43133785  1.70047283],[ 1.17423824 -1.39635538  1.86640194]
880,3.772653325007711,1.8128795968042273,3.7524670781880625,4.0,1.0,,True,[-1.22911775 -1.33937912 -1.87281423],[ 1.1451215  -1.40117402  1.88082644],[0.43648431 2.31688525 1.11965359]
