,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
3116,3.7499646038550756,2.079013565025058,3.3490218311198663,2.0,7.0,,True,[ 1.4721747   1.24941751 -1.75606308],[-1.32140313  1.34178128  1.80710176],[-0.51667795 -2.37927953  0.94030464]
3129,5.620132422058442,2.220105664240094,1.3377619137014642,3.0,,7.0,True,[ 1.17460251 -1.43030956 -1.8402781 ],[-0.9219435   1.15832578  2.14951194],[-1.21986085  1.43945827  1.80333008]
3136,3.7250871566235833,5.391518871426841,0.06139397194957574,2.0,6.0,,True,[ 1.15028384  1.36493735 -1.90417781],[-1.13752752 -1.33946489  1.92975775],[0.81265959 0.867452   2.32362032]
3235,3.62695731389492,1.5890662906259625,3.9619763954791187,,0.0,6.0,True,[ 0.51343578  0.5533484  -2.49845737],[1.27607152 1.44627526 1.75841671],[-1.29939517 -1.44537446  1.74200025]
3499,5.620464141999065,1.8786389543563604,1.678896903644575,3.0,7.0,,True,[ 1.23923327 -1.3768292  -1.83867949],[-1.33812355  1.42685901  1.72788852],[-0.85190785  1.00979807  2.25092445]
3647,4.414164826971924,4.579991602340404,0.18384357068767176,1.0,7.0,,True,[ 1.24369609 -1.32896577  1.87060686],[-1.20362663  1.2858772   1.92611078],[-1.70931149  1.82786156 -0.74113181]
3714,3.725370789141376,0.18464261903955964,5.267986591819065,4.0,,0.0,True,[-1.26307492 -1.26384276 -1.90248344],[-0.87225548 -2.14810777  1.19870905],[1.22546433 1.46497037 1.77881955]
3733,4.413849788133439,2.1052577870551876,2.658892424811373,0.0,7.0,,True,[1.39296845 1.17409897 1.8690186 ],[-1.41375902  1.16290564  1.86038596],[-0.53674094 -2.54751277  0.18489951]
3915,3.7397372431816165,0.05827358418008309,5.379989172638301,4.0,,0.0,True,[-1.31380608 -1.33608845 -1.81683275],[-2.60650477 -0.13294486 -0.02363368],[1.36664188 1.12778454 1.9163747 ]
3933,4.425759308093196,3.15650693720228,1.5957337547045243,7.0,,0.0,True,[-1.16483852  1.31691887  1.92898313],[ 0.40717126 -2.52655152  0.51268799],[1.36723574 1.36028703 1.75851802]
3939,4.421733223820284,1.7382502700904334,3.0180165060892827,7.0,0.0,,True,[-1.32565274  1.18806426  1.90872945],[1.25774173 1.39360955 1.81329483],[ 0.65007035 -2.49569124  0.40129016]
3940,3.8080427791473213,0.08406914792811941,5.2858880729245605,,3.0,0.0,True,[-1.61283697 -1.48696496 -1.41414007],[ 1.36425523 -1.18136045 -1.88554904],[1.19688353 1.41108152 1.84076581]
4025,4.417951325540183,1.7822685120238166,2.9777801624360007,0.0,1.0,,True,[1.3234755  1.22048879 1.88968773],[ 1.21956825 -1.40686014  1.82907021],[-2.55556541 -0.39820643  0.35016721]
4178,4.425203487138633,0.24908752329276876,4.503708989568599,7.0,2.0,,True,[-1.229618    1.26092784  1.92618808],[ 1.37067502  1.22129254 -1.8552074 ],[ 0.89650571 -1.53710698  1.90936629]
4205,3.7426041216041956,3.1826555572075512,2.2527403211882535,2.0,,1.0,True,[ 1.29968148  1.37248543 -1.79978104],[-2.43278886 -0.42709146  0.84334527],[ 1.21642999 -1.26140096  1.93423517]
4495,3.722578289120515,0.10137067877871044,5.354051032100775,4.0,,0.0,True,[-1.33905923 -1.15576936 -1.91917106],[-1.64787739 -1.82325246  0.87883478],[1.34330196 1.21459966 1.87946469]
4596,4.37928804538405,0.352694752297686,4.446017202318264,,5.0,6.0,True,[1.73924353 0.95768597 1.69409844],[-1.22064777  1.43005348 -1.81026685],[-1.38234351 -1.3532504   1.75212437]
4637,3.721408296025067,0.21108657007982082,5.245505133895112,4.0,,0.0,True,[-1.15231783 -1.33197068 -1.92616659],[-2.37523063 -0.32199745  1.03281029],[1.44705965 1.18649488 1.81943625]
4653,3.75250846506282,4.928066224547274,0.49742531038990556,3.0,,1.0,True,[ 1.32019017 -1.42765799 -1.74097404],[-1.56720475  1.61572472  1.32113698],[ 1.30682778 -1.16437531  1.93611242]
4686,4.401692738582629,1.5491331261695351,3.2271741352478354,0.0,7.0,,True,[1.19213828 1.45716469 1.80764415],[-1.46968011  1.23353997  1.76932741],[-0.37402219 -2.55644149  0.36988417]
4837,3.746373214440695,1.8407904096343366,3.590836375924969,2.0,1.0,,True,[ 1.33671811  1.36608675 -1.77738338],[ 1.37806485 -1.35629046  1.75314388],[-2.35203592 -0.4242745   1.04881751]
4922,4.420873551571238,0.09642625232464218,4.66070019610412,6.0,,0.0,True,[-1.16319869 -1.35363222  1.90440243],[-1.35392169 -0.88195644 -2.04967043],[1.32762065 1.4452036  1.72072948]
5169,3.7521065242730622,0.08960960394381823,5.33628387178312,5.0,,1.0,True,[-1.26510544  1.47387684 -1.74335748],[-2.59703516 -0.2169452   0.14297958],[ 1.39736687 -1.20777552  1.84411066]
5214,3.609960196160748,2.9491720799702876,2.618867723868964,,0.0,6.0,True,[-0.18933862 -0.01706165 -2.60306738],[1.44587377 1.31248016 1.73174619],[-1.31205022 -1.37275963  1.79057399]
5404,3.737217260816906,5.321311179809579,0.1194715593735145,2.0,6.0,,True,[ 1.25971342  1.36733789 -1.8318322 ],[-1.3237602  -1.38086061  1.77566407],[1.23977951 0.97199184 2.08093216]
5594,6.435936089621137,1.6981351910581477,1.0439287193207156,7.0,1.0,,True,[-1.16559989  1.45137242  1.82947943],[ 1.18870386 -1.40386538  1.85155209],[ 1.37805477 -1.81319798  1.27490318]
5649,3.731747743345704,2.543375864890972,2.9028763917633245,5.0,0.0,,True,[-1.36280879  1.21604995 -1.86442343],[1.32469724 1.14478577 1.93565047],[ 0.30521199 -2.45033149  0.84547101]
5689,3.7507522674089153,2.4282063852196174,2.9990413473714677,2.0,1.0,,True,[ 1.27083733  1.4593512  -1.7513899 ],[ 1.15241924 -1.35117705  1.91268149],[-2.45816908 -0.41622392  0.77218029]
5704,3.728642151276992,5.277027294410485,0.17233055431252353,2.0,6.0,,True,[ 1.16230571  1.38406758 -1.88295044],[-1.41818935 -1.21109432  1.82594894],[ 2.14890945 -0.08440482  1.47890635]
5932,4.406197301194646,4.597887474025773,0.17391522477958077,1.0,7.0,,True,[ 1.25604911 -1.37261049  1.83040462],[-1.44991455  1.21431219  1.79869222],[-0.56445008  2.52007022 -0.37781236]
5953,3.731747577157988,0.4682942264716505,4.977958196370362,3.0,1.0,,True,[ 1.34396979 -1.23683741 -1.86442442],[ 1.22862265 -1.41960373  1.81309449],[-1.5404796   1.50629822  1.47312195]
6018,4.401747685207054,2.8275039206133306,1.9487483941796162,1.0,,0.0,True,[ 1.27777105 -1.38232394  1.80792192],[-2.5491943   0.53473044  0.1666487 ],[1.15024169 1.43340877 1.85320894]
6053,4.3899217317308565,3.1396193176671634,1.6484589506019809,0.0,,1.0,True,[1.4195271  1.31959403 1.74806018],[-2.53116917 -0.62052505  0.14223674],[ 1.17667331 -1.29705989  1.93524561]
6179,4.411875635341088,0.14026458092092223,4.62585978373799,0.0,,6.0,True,[1.40050572 1.18091783 1.85906342],[ 0.41856155  0.1130953  -2.57373574],[-1.44061455 -1.17297432  1.83326511]
6194,4.403502991937312,4.604188877523125,0.1703081305395635,0.0,6.0,,True,[1.22807883 1.41533854 1.81679367],[-1.23106688 -1.37401115  1.84625776],[-1.52573396 -1.99116635 -0.72075822]
6263,4.384149522824428,0.2523516088717967,4.541498868303776,1.0,,7.0,True,[ 1.44759981 -1.3275296   1.71878444],[-0.57356144 -0.024514   -2.54608058],[-1.28709917  1.31010795  1.85447915]
6266,3.7346731443821155,2.1718516726651926,3.2714751829526922,3.0,0.0,,True,[ 1.33023457 -1.27719206 -1.84698577],[1.21901329 1.33544953 1.88220115],[-2.41452434  0.27651189  0.95168976]
6547,4.405700739991352,3.2450882025543697,1.527211057454278,1.0,,0.0,True,[ 1.38578763 -1.2451852   1.82789673],[-2.51987244  0.5944138   0.33017436],[1.31946139 1.24844196 1.8741703 ]
6562,4.393603708828037,4.6347102983627755,0.14968599280918848,6.0,0.0,,True,[-1.23124955 -1.4747349   1.76671489],[1.3711857  1.39898305 1.72475975],[ 0.88686014  2.41640636 -0.43192522]
6565,4.383611893623172,0.22375103228336843,4.570637074093461,0.0,,6.0,True,[1.39462691 1.38645897 1.71605574],[-0.40207887  0.05489149 -2.57825901],[-1.27683346 -1.3699416   1.81798139]
6568,4.415414974879637,0.2243287844790355,4.538256240641329,0.0,,6.0,True,[1.38762514 1.1678234  1.87690836],[-0.927252    0.7043659  -2.33584512],[-1.16256032 -1.30851133  1.93606601]
6699,5.612439770312517,1.3509441644086473,2.214616065278836,5.0,1.0,,True,[-1.35131698  1.20892408 -1.87737716],[ 1.28704358 -1.32075139  1.84695279],[ 1.14599147 -0.89298364  2.16826746]
6708,4.430949225479612,4.637237116063808,0.10981365845658075,1.0,7.0,,True,[ 1.24764343 -1.19716607  1.95506503],[-1.26021436  1.38545435  1.81782178],[-2.24680202  1.01072695  0.86163318]
6871,4.417256820506999,0.7570842431140851,4.003658936378916,0.0,4.0,,True,[1.30594208 1.24455037 1.88618919],[-1.25679825 -1.24100708 -1.92157737],[-0.82521582 -0.76759785  2.35412667]
7388,4.402562812210671,3.1043002429062767,1.6711369448830524,7.0,,6.0,True,[-1.29948195  1.35644747  1.8120422 ],[ 2.52213526 -0.56620592  0.36103265],[-1.32831557 -1.4299543   1.7328902 ]
7392,3.6512354955049595,4.529447144055581,0.9973173604394603,,0.0,6.0,True,[-0.8189299  -0.78701636 -2.34990618],[1.38761562 1.36156632 1.74148214],[-1.3902305  -1.39577957  1.71206266]
7436,6.429170939427821,0.943557618387855,1.8052714421843246,7.0,1.0,,True,[-1.29437185  1.37590734  1.8009943 ],[ 1.32836334 -1.35413032  1.79273029],[ 1.48232211 -1.6175633   1.41361598]
7440,4.40292539872784,4.654893069918225,0.12018153135393561,6.0,0.0,,True,[-1.30406605 -1.34958146  1.81387475],[1.37466144 1.38360241 1.73437316],[ 1.68840463  1.99029073 -0.01151563]
7447,3.729872144235802,5.375682425394493,0.0724454303697053,5.0,1.0,,True,[-1.1438436   1.40918628 -1.8756108 ],[ 1.2010982  -1.33401261  1.89469614],[-1.35401846  0.41295287  2.19276172]
7822,6.420802048377745,1.667318832641921,1.0898791189803347,0.0,6.0,,True,[1.31386186 1.40289525 1.7657157 ],[-1.4472611  -1.26871362  1.76292401],[-1.39894707 -1.8358869   1.21842783]
7991,4.409278129607727,1.7171366771640157,3.0515851932282576,7.0,0.0,,True,[-1.37266837  1.23301255  1.84595818],[1.3079554  1.35758981 1.80507689],[ 0.66886648 -2.50051372  0.33488621]
8197,4.398302680204721,0.3132715616414288,4.46642575815385,,3.0,6.0,True,[1.02789193 1.59676175 1.79049995],[ 1.29326745 -1.24983631 -1.89141971],[-1.36252944 -1.25353361  1.83963774]
8313,4.412416121392155,2.76997882386666,1.9956050547411857,1.0,,0.0,True,[ 1.15251927 -1.4204012   1.8617894 ],[-2.50122753  0.72909709  0.15613537],[1.23306696 1.25310137 1.9290886 ]
8398,3.724021554431072,0.05249918308273994,5.4014792624861885,5.0,,1.0,True,[-1.35160748  1.15545497 -1.9105447 ],[-1.05654043  2.38203958  0.14734225],[ 1.22643889 -1.19424501  1.97020976]
8404,3.7478470140265556,5.37324328693438,0.056909699039064954,5.0,1.0,,True,[-1.38615844  1.32763206 -1.76863164],[ 1.42284928 -1.14906033  1.86205808],[-1.37796865 -0.75683121  2.08338881]
