,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
151,3.802429690760124,2.2704181478918786,3.4051521613479983,2.0,7.0,,True,[ 1.18738287  1.30069936 -1.92624067],[-1.20016541  1.21812217  1.97177113],[-0.27473888 -2.3691446   1.06008131]
397,3.7048807401996307,4.725440412114934,1.047678847685435,,1.0,7.0,True,[-0.61315561  0.84061486 -2.39363883],[ 1.22636792 -1.37097661  1.85163303],[-1.45148255  1.33086103  1.71292362]
588,6.745391053571273,1.0752761825181163,1.6573327639106115,0.0,,6.0,True,[1.17249405 1.39965264 1.86502821],[-1.41424209 -1.81150114  1.23712688],[-1.22628119 -1.36457347  1.8564142 ]
593,3.806514027371586,3.206231170935968,2.465254801692446,4.0,,7.0,True,[-1.2199666  -1.2989834  -1.90694091],[2.37974303 0.30756978 1.02680278],[-1.19798147  1.26336211  1.94444248]
684,4.676658568826089,0.22307808821254607,4.578263342961366,0.0,,6.0,True,[1.43250227 1.24676353 1.79042395],[-0.15643888 -0.25511735 -2.59278653],[-1.4132819  -1.2037757   1.83457307]
719,3.8443124180607464,2.210950126374805,3.4227374555644494,5.0,6.0,,True,[-1.32212127  1.43996602 -1.72933316],[-1.22987993 -1.20662283  1.96049909],[ 2.38965403 -0.55628895  0.89005405]
745,3.6612240547357584,3.1983612846121874,2.6184146606520544,,6.0,0.0,True,[ 0.07271282  0.1031704  -2.60694624],[-1.22103048 -1.40247593  1.83146003],[1.26351281 1.42803253 1.78223412]
765,4.712112300450215,4.600187114530486,0.16570058501929896,6.0,0.0,,True,[-1.22794727 -1.26256053  1.92618442],[1.25640112 1.27622995 1.89862933],[ 1.73439087  1.86540447 -0.56943345]
848,3.8235568856694724,5.507573390892035,0.1468697234384928,5.0,1.0,7.0,True,[-1.45261497  1.16850663 -1.8266368 ],[ 1.4668532  -1.21702013  1.78306021],[-1.41883305  1.36827651  1.71079869]
912,3.828792692213403,2.0395630209120674,3.6096442868745293,3.0,6.0,,True,[ 1.37908002 -1.28953105 -1.80203995],[-1.45317317 -1.30535512  1.7310216 ],[-0.32799683  2.30931617  1.17114341]
1240,4.677935619358245,1.68981635893711,3.1102480217046455,1.0,0.0,,True,[ 1.28898847 -1.38830605  1.79533146],[1.25194216 1.33490731 1.86085016],[-2.50360394  0.71865787  0.16612693]
1258,3.806267206237032,3.764013499135815,1.9077192946271535,5.0,,6.0,True,[-1.33087183  1.1832199  -1.90810661],[ 2.29423587 -0.28400365  1.21157902],[-1.34272656 -1.27238735  1.84125387]
1368,4.657203886931152,1.2381092697285052,3.582686843340343,1.0,6.0,,True,[ 1.36046122 -1.42066992  1.71550058],[-1.15937581 -1.41071185  1.86489673],[-0.86956385  2.44906594  0.24090398]
1457,3.6870714367736435,1.6181676413290649,4.172760921897292,,0.0,6.0,True,[ 0.47979302  0.65560155 -2.48033975],[1.44961062 1.18629787 1.81753306],[-1.35372313 -1.35501075  1.77298605]
1473,3.822536616481314,5.579316913019916,0.07614647049877021,4.0,0.0,,True,[-1.37328636 -1.25380805 -1.83143386],[1.39434083 1.14305749 1.88714949],[-1.74583431 -0.48139347  1.8794741 ]
1778,4.687711706647124,0.8936688117373113,3.8966194816155655,0.0,4.0,,True,[1.40245146 1.21896184 1.83285622],[-1.32705147 -1.19966936 -1.90048095],[-0.9027165  -0.76246412  2.32719818]
